,bldg_Building_gml_id,damage_value_building,damage_value_contents,damage_value_total
210,bldg_293abe14-c878-4861-bb7b-6e5040e6d291,0.0,0.0,0.0
211,bldg_868101f9-0729-4bbe-a3da-7034c8a7c0f2,0.0,0.0,0.0
212,bldg_1c650fcd-0c8a-4898-b32e-026591337d73,0.0,0.0,0.0
213,bldg_c156e990-eee7-4817-8d42-47014f52b311,0.0,0.0,0.0
214,bldg_de21109b-03bf-4783-8565-c264210aa041,0.0,0.0,0.0
215,bldg_2485e9a4-95c3-41ff-aaca-ff62bac0d5d4,0.0,0.0,0.0
216,bldg_9c55cd41-2cc9-4141-8345-9338ed9d661a,0.0,0.0,0.0
217,bldg_60183705-6561-450b-9de1-6bf146d6f4b0,0.0,0.0,0.0
218,bldg_e057b1fc-abb9-44c8-bcec-7aa3b2b77c42,0.0,0.0,0.0
219,bldg_a257f111-4968-47ad-b9e6-a343abd0faaa,0.0,0.0,0.0
220,bldg_c2fa07c4-95de-417e-9fb9-dc6f43d48874,0.0,0.0,0.0
221,bldg_b5577edd-2d0c-4ebb-b898-cf3811749508,0.0,0.0,0.0
222,bldg_41e56284-1133-43f8-95ae-b86bd1fb6626,0.0,0.0,0.0
223,bldg_fbb03033-00cb-41fc-bb9b-c91fbdccda59,0.0,0.0,0.0
224,bldg_750a1e26-870c-4b0a-b897-f3c4d9e60026,0.0,0.0,0.0
225,bldg_af0a4690-8801-46ef-a3a3-d5677347738f,0.0,0.0,0.0
226,bldg_054008a2-d8ea-4338-b761-351b1eac7418,0.0,0.0,0.0
227,bldg_ddd715be-37da-490d-9c19-cea5a7b3b20a,0.0,0.0,0.0
228,bldg_39959a0d-d995-4622-b9f4-005d6bb8e6cf,0.0,0.0,0.0
229,bldg_908ab285-8c43-4707-b1b9-6158d6537465,0.0,0.0,0.0
230,bldg_446d73b9-88f0-4145-9f1d-2fae5c6fb0da,0.0,0.0,0.0
231,bldg_5c7f7ce1-c21e-4188-a200-b045d8cb6ced,0.0,0.0,0.0
